Astronomy & Cosmology,Biographies & Memoirs,Biology & Life Sciences,Business & Productivity,Childhood,Children's Literature,Classics,Climate & Environment,Computer Science,Contemporary & Literary Fiction,Engineering & Physics,Fantasy,Finance & Investing,Food & Cookbooks,Health & Fitness,Historical Fiction,History & Politics,Horror,LGBTQ+ Fiction,Language & Education,Language Learning,Magical Realism,Medicine & Neuroscience,Mystery & Thriller,Philosophical Fiction,Philosophy & Thought,Psychology & Self-Help,Religion & Spirituality,Romance,Science Fiction,Social Justice & Activism,Travel & Adventure,True Crime,Uncategorized,Young Adult
,"Garry Kasparov on My Great Predecessors, Part 1",,The New New Thing: A Silicon Valley Story by Michael Lewis (2014-01-06),,,Lord of the Flies,,,Want,,,,,,,Less Is More: How Degrowth Will Save the World,,,,,,,,The Good Soldier: A Tale of Passion, ,Chess For Beginners: Learn The Best Opening Strategies And Endgame Tactics While Boosting Problem-Solving And Critical Thinking Skills,,,,,,,,"The Short Second Life of Bree Tanner (The Twilight Saga, #3.5)"
,Chess Meets of the Century,,Barbarians at the Gate: The Fall of RJR Nabisco,,,The Death of Ivan Ilych,,,Bombay Stories,,,,,,,The Eighteenth Brumaire of Louis Bonaparte,,,,,,,,The Master and Margarita,Decisive Treatise and Epistle Dedicatory (Brigham Young University - Islamic Translation Series),"The Comfort Crisis: Embrace Discomfort To Reclaim Your Wild, Happy, Healthy Self",,,,,,,,"Eclipse (The Twilight Saga, #3)"
,Bobby Fischer's Games of Chess,,Letters from a Self-Made Merchant to His Son,,,Alice's Adventures in Wonderland,,,Toba Tek Singh: Stories,,,,,,,Orientalism,,,,,,,,Veronika Decides to Die,On the Harmony of Religions and Philosophy,The Anxious Generation: How the Great Rewiring of Childhood Caused an Epidemic of Mental Illness,,,,,,,,"New Moon (The Twilight Saga, #2)"
,I Was Tortured in the Pasadena Jailhouse,,Purple Cow: Transform Your Business by Being Remarkable,,,Anna Karenina,,,Manto: Selected Stories,,,,,,,The Wretched of the Earth,,,,,,,,The Castle,"Averroes, the Decisive Treatise: The Connection Between Islamic Religious Law and Philosophy (7)",Stolen Focus: Why You Can't Pay Attention and How to Think Deeply Again,,,,,,,,"Twilight (The Twilight Saga, #1)"
,My 60 Memorable Games,,Billion-Dollar Lessons: What You Can Learn from the Most Inexcusable Business Failures of the Last 25 Years,,,Aesops Fables,,,Roses in December,,,,,,,Das Kapital,,,,,,,,The Trial,"Averroes on Plato's ""Republic"" (Agora Editions)","Men Are from Mars, Women Are from Venus",,,,,,,,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)"
,Bobby Fischer Teaches Chess,,Outliers: The Story of Success,,,The Collected Poems of W.B. Yeats,,,We Used to Live Here,,,,,,,Capitalist Realism: Is There No Alternative?,,,,,,,,The Little Prince,Faith and Reason in Islam: Averroes' Exposition of Religious Arguments (Great Islamic Writings),I Can Make You Happy,,,,,,,,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)"
,Isaac Newton,,"The Google Resume: How to Prepare for a Career and Land a Job at Apple, Microsoft, Google, or Any Top Tech Company",,,The Complete Stories and Poems,,,"Moon of the Crusted Snow (Moon, #1)",,,,,,,The Communist Manifesto,,,,,,,,Brave New World,"Ibn Rushd's Metaphysics: A translation with introduction of Ibn Rushd's commentary on Aristotle's metaphysics, book Lm (Islamic philosophy and theology)",Never Split the Difference: Negotiating as if Your Life Depended on It,,,,,,,,"Harry Potter and the Goblet of Fire (Harry Potter, #4)"
,Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,,The Visual Mba: Two Years of Business School Packed into One Priceless Book of Pure Awesomeness,,,A Gentle Creature,,,"Moon of the Turning Leaves (Moon, #2)",,,,,,,Elite Capture: How the Powerful Took Over Identity Politics (And Everything Else),,,,,,,,Qatra Qatra Qulzum (Essays) 1989,The Distinguished Jurist's Primer 2-Volume Set: Bidayat al-Mujtahid wa Nihayat al-Muqtasid (Great Books of Islamic Civilization),Beyond Order: 12 More Rules For Life,,,,,,,,"Harry Potter: The Prequel (Harry Potter, #0.5)"
,The Letters of Vincent van Gogh,,"The Google Story: Inside the Hottest Business, Media and Technology Success of Our Time",,,"The Hamlet (The Snopes Trilogy, #1)",,,Funny Story,,,,,,,To Overthrow the World: The Rise and Fall and Rise of Communism,,,,,,,,Notes from Underground,The Essential Rumi,12 Rules for Life: An Antidote to Chaos,,,,,,,,"The Hunger Games (The Hunger Games, #1)"
,Gandhi: His Life and Message for the World,,The 33 Strategies of War,,,The Gambler,,,The God of the Woods,,,,,,,An Arab Philosophy Of History. Selections from the Prolegomena of Ibn Khaldun of Tunis (1332-1406),,,,,,,,Zarb-e-Kaleem: Armagan-e-Hijaz,Tao Te Ching,The Art of Seduction,,,,,,,,"Fourth Wing (The Empyrean, #1)"
,Lee Kuan Yew: Hard Truths To Keep Singapore Going,,"Tools of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers",,,The Idiot,,,The Booklover's Library,,,,,,,   #1,,,,,,,,The Prophet,The Minimalist Program (Current Studies in Linguistics),Persuasion: The Art of Influencing People,,,,,,,,Totto-chan: The Little Girl at the Window
,A. Lincoln,,Slow Productivity: The Lost Art of Accomplishment Without Burnout,,,Emma,,,Intimations,,,,,,,The Muqaddimah: An Introduction to History,,,,,,,,Lolita,Mans Search for Meaning,Be Useful: Seven Tools for Life,,,,,,,,The BFG
,Einstein: The Life and Times,,Founders at Work: Stories of Startups' Early Days,,,Wuthering Heights,,,Stay True,,,,,,,How Asia Works: Success and Failure in the World's Most Dynamic Region,,,,,,,,Bang-e-Dara /  ,The Birth of Tragedy,The Power of Habit: Why We Do What We Do in Life and Business,,,,,,,,Matilda
,Im Glad My Mom Died,,Mastery,,,The Picture of Dorian Gray,,,Catch-22,,,,,,,Nexus: A Brief History of Information Networks from the Stone Age to AI,,,,,,,,,Meditations,Blink: The Power of Thinking Without Thinking,,,,,,,,I Am the Messenger
,North: Finding My Way While Running the Appalachian Trail,,Digital Minimalism: Choosing a Focused Life in a Noisy World,,,The Great Gatsby,,,One Flew Over the Cuckoos Nest,,,,,,,"Revenge of the Tipping Point: Overstories, Superspreaders, and the Rise of Social Engineering",,,,,,,,,"Lives of Eminent Philosophers, Vol 2, Books 6-10","The Way of the Superior Man: A Spiritual Guide to Mastering the Challenges of Women, Work, and Sexual Desire",,,,,,,,
,Shoe Dog: A Memoir by the Creator of Nike,,Deep Work: Rules for Focused Success in a Distracted World,,,Great Expectations,,,The Prime of Miss Jean Brodie,,,,,,,The Israel Lobby and U.S. Foreign Policy,,,,,,,,,"Lives of Eminent Philosophers, Vol 1, Books 1-5",Tiny Beautiful Things: Advice on Love and Life from Dear Sugar,,,,,,,,
,Spaceman: An Astronaut's Unlikely Journey to Unlock the Secrets of the Universe,,The 4-Hour Workweek,,,Jane Eyre,,,Norwegian Wood,,,,,,,  -  ,,,,,,,,,A Book of Five Rings: The Classic Guide to Strategy,Bird by Bird,,,,,,,,
,Educated,,The Lean Startup,,,Don Quixote,,,Seeing,,,,,,,Rising Tide: the Great Mississippi Flood of 1927 and How it Changed America,,,,,,,,,"Gdel, Escher, Bach: An Eternal Golden Braid",The Obstacle Is the Way: The Timeless Art of Turning Trials into Triumph,,,,,,,,
,My Inventions,,"Rich Dad, Poor Dad",,,The Brothers Karamazov,,,The Unbearable Lightness of Being,,,,,,,A Nervous Splendor: Vienna 1888-1889,,,,,,,,,Bullshit Jobs: A Theory,Ego Is the Enemy,,,,,,,,
,"""What Do You Care What Other People Think?"": Further Adventures of a Curious Character",,Good to Great: Why Some Companies Make the Leap... and Others Don't,,,Ulysses,,,And Every Morning the Way Home Gets Longer and Longer,,,,,,,In the Heart of the Sea: The Tragedy of the Whaleship Essex,,,,,,,,,Essays and Lectures,Can't Hurt Me: Master Your Mind and Defy the Odds,,,,,,,,
,"""Surely You're Joking, Mr. Feynman!"": Adventures of a Curious Character",,Hooked: How to Build Habit-Forming Products,,,1984,,,Tawaf E Ishq /  ,,,,,,,"The Path to Power (The Years of Lyndon Johnson, #1)",,,,,,,,,Discourses and Selected Writings,The Top Five Regrets of the Dying: A Life Transformed by the Dearly Departing,,,,,,,,
,Endurance: Shackleton's Incredible Voyage,,Leaders Eat Last: Why Some Teams Pull Together and Others Don't,,,Pride and Prejudice,,,"It's a Magical World (Calvin and Hobbes, #11)",,,,,,,Reveille for Radicals,,,,,,,,,Kulliyat-e-Iqbal: Urdu /  : ,Ask and It Is Given: Learning to Manifest Your Desires,,,,,,,,
,My Bondage and My Freedom (The Autobiographies #2),,"Zero to One: Notes on Startups, or How to Build the Future",,,Animal Farm,,,The Midnight Library,,,,,,,History of the Peloponnesian War,,,,,,,,,The Reconstruction of Religious Thought in Islam,Influence: The Psychology of Persuasion,,,,,,,,
,How They Succeeded: Life Stories of Successful Men Told by Themselves,,,,,Crime and Punishment,,,The Curious Incident of the Dog in the Night-Time,,,,,,,A History of Civilizations,,,,,,,,,How to Win Every Argument: The Use and Abuse of Logic,"Everybody Lies: Big Data, New Data, and What the Internet Can Tell Us About Who We Really Are",,,,,,,,
,Where Men Win Glory: The Odyssey of Pat Tillman,,,,,War and Peace,,,Where the Crawdads Sing,,,,,,,Political Order and Political Decay: From the Industrial Revolution to the Globalization of Democracy,,,,,,,,,Laques / Eutfron,"Win Every Argument: The Art of Debating, Persuading, and Public Speaking",,,,,,,,
,The Complete Personal Memoirs of Ulysses S Grant,,,,,"Moby-Dick or, The Whale",,,The Lovely Bones,,,,,,,The Origins of Political Order: From Prehuman Times to the French Revolution,,,,,,,,,The Republic,The Top Insults: How to Win Any ArgumentWhile Laughing!,,,,,,,,
,Boyd: The Fighter Pilot Who Changed the Art of War,,,,,,,,As Long as the Lemon Trees Grow,,,,,,,Mein Kampf,,,,,,,,,Phaedrus (Hackett Classics),The 50th Law,,,,,,,,
,"The Autobiography of Martin Luther King, Jr.",,,,,,,,The Help,,,,,,,Numbers Don't Lie: 71 Things You Need to Know About the World,,,,,,,,,Phaedo,Ikigai: Los secretos de Japn para una vida larga y feliz,,,,,,,,
,"My Life in Full: Work, Family, and Our Future",,,,,,,,The Secret Life of Bees,,,,,,,One Man's View of the World,,,,,,,,,The Symposium,The Daily Laws: 366 Meditations from the author of the bestselling The 48 Laws of Power,,,,,,,,
,Being Henry: The Fonz . . . and Beyond,,,,,,,,The Glass Hotel,,,,,,,"Why Nations Fail: The Origins of Power, Prosperity, and Poverty",,,,,,,,,Politics,Think and Grow Rich,,,,,,,,
,The Spy and the Traitor: The Greatest Espionage Story of the Cold War,,,,,,,,"Still Me (Me Before You, #3)",,,,,,,The Prince,,,,,,,,,Apology,The Art of Communicating,,,,,,,,
,Long Walk to Freedom (Volume 1: 1918-1962),,,,,,,,"After You (Me Before You, #2)",,,,,,,Uncommon Knowledge: the Economist Explains,,,,,,,,,Leviathan,"This Is Water: Some Thoughts, Delivered on a Significant Occasion, about Living a Compassionate Life",,,,,,,,
,Assata: An Autobiography,,,,,,,,"Me Before You (Me Before You, #1)",,,,,,,"Jinnah: His Successes, Failures and Role in History",,,,,,,,,Utilitarianism,The Laws of Human Nature,,,,,,,,
,The Glass Castle,,,,,,,,And the Mountains Echoed,,,,,,,Collapse: How Societies Choose to Fail or Succeed,,,,,,,,,Being and Time,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,,,,,,,,
,Benjamin Franklin: An American Life,,,,,,,,A Little Life,,,,,,,A Short History of Nearly Everything,,,,,,,,,Critique of Pure Reason,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,,,,,,,,
,Leonardo da Vinci,,,,,,,,"Before the Coffee Gets Cold (Before the Coffee Gets Cold, #1)",,,,,,,21 Lessons for the 21st Century,,,,,,,,,"The Trial and Death of Socrates (Euthyphro, Apology, Crito, Phaedo)",Quiet: The Power of Introverts in a World That Can't Stop Talking,,,,,,,,
,From Third World to First: The Singapore Story: 1965-2000,,,,,,,,"Blood Meridian, or, the Evening Redness in the West",,,,,,,Deng Xiaoping and the Transformation of China,,,,,,,,,The Nicomachean Ethics,Talking to Strangers: What We Should Know About the People We Don't Know,,,,,,,,
,Greenlights,,,,,,,,No One Writes Back,,,,,,,"Guns, Germs, and Steel: The Fates of Human Societies",,,,,,,,,Beyond Good and Evil,How to Win Friends & Influence People,,,,,,,,
,Napoleon Bonaparte: The Biography of a Leader Who Changed the History of France (Including the French Revolution),,,,,,,,The Housekeeper and the Professor,,,,,,,"The World for Sale: Money, Power and the Traders Who Barter the Earths Resources",,,,,,,,,Thus Spoke Zarathustra,"Thinking, Fast and Slow",,,,,,,,
,The Autobiography of Malcolm X,,,,,,,,How Do You Live?,,,,,,,Sapiens: A Brief History of Humankind,,,,,,,,,The Analects,Revive Your Heart: Putting Life in Perspective,,,,,,,,
,Einstein: His Life and Universe,,,,,,,,Piranesi,,,,,,,Homo Deus: A History of Tomorrow,,,,,,,,,As a Man Thinketh,Think Again: The Power of Knowing What You Don't Know,,,,,,,,
,Steve Jobs,,,,,,,,White Teeth,,,,,,,Factfulness: Ten Reasons We're Wrong About the World  and Why Things Are Better Than You Think,,,,,,,,,Letters from a Stoic,The 48 Laws of Power,,,,,,,,
,Leaders Who Changed History (DK People Who Changed History),,,,,,,,The Girl with the Louding Voice,,,,,,,Jinnah vs. Gandhi,,,,,,,,,Sceptical Essays (Routledge Classics),,,,,,,,,
,Elon Musk,,,,,,,,Home Fire,,,,,,,,,,,,,,,,The Art of War,,,,,,,,,
,,,,,,,,,Demon Copperhead,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Small Things Like These,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,The Island of Missing Trees,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,The Promise,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Hamnet,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,The Bee Sting,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Normal People,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Outline,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,There There,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,An Abundance of Wild Roses,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Mornings in Jenin,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Against the Loveless World,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Slaughterhouse-Five,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,The Secret History,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Sons and Lovers,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,The Bluest Eye,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Mrs. Dalloway,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Season of Migration to the North,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,East of Eden,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Americanah,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Vile Bodies,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"Things Fall Apart (The African Trilogy, #1)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,A Farewell to Arms,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,The Crying of Lot 49,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"Paradise (Beloved Trilogy, #3)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"Jazz (Beloved Trilogy, #2)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"Beloved (Beloved Trilogy, #1)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"The Testaments (The Handmaid's Tale, #2)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"The Handmaids Tale (The Handmaid's Tale, #1)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Wide Sargasso Sea,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,To the Lighthouse,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,The Bell Jar,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,The God of Small Things,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,To Kill a Mockingbird,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,   #1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,What Makes Sammy Run?,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,The Moviegoer,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"Ask the Dust (The Saga of Arturo Bandini, #3)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"It Starts with Us (It Ends with Us, #2)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,The Bastard of Istanbul,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,The Road,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"The Mansion (The Snopes Trilogy, #3)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"The Town (The Snopes Trilogy, #2)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Aab-e-Hayat/ ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Peer-e-Kamil/ ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,The Giving Tree,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Aab e Gum /  ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Mann Chalay Ka Sauda /    ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Of Mice and Men,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,The Catcher in the Rye,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Stoner,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Talash /,,,,,,,,,,,,,,,,,,,,,,,,,
